CodeRégion,Région,Inscrits,Abstentions,Abstentions_ins,Votants,Votants_ins,Blancs,Blancs_ins,Blancs_vot,Nuls,Nuls_ins,Nuls_vot,Exprimés,Exprimés_ins,Exprimés_vot,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,HAMON,LASSALLE,POUTOU,ASSELINEAU,ARTHAUD,CHEMINADE,LE PEN.ins,MACRON.ins,MÉLENCHON.ins,FILLON.ins,DUPONT-AIGNAN.ins,HAMON.ins,LASSALLE.ins,POUTOU.ins,ASSELINEAU.ins,ARTHAUD.ins,CHEMINADE.ins,LE PEN.exp,MACRON.exp,MÉLENCHON.exp,FILLON.exp,DUPONT-AIGNAN.exp,HAMON.exp,LASSALLE.exp,POUTOU.exp,ASSELINEAU.exp,ARTHAUD.exp,CHEMINADE.exp
44.0,Grand Est,3873402,825831,21.32056006580262,3047571,78.67943993419738,55656,1.4368764202631175,1.8262412918353665,20290,0.523828923514781,0.6657761213766635,2971625,76.71873459041947,97.50798258678796,825604,615776,484810,586390,182200,151296,30508,34468,30223,24272,6078,21.31469958449962,15.897549492668203,12.516387403114884,15.138888243461432,4.703875301350079,3.9060236969981426,0.7876280334445018,0.8898637425188504,0.7802701604429388,0.6266326087506539,0.15691632317017443,27.78291338913894,20.72186093467379,16.31464266184327,19.732974382703066,6.131325453245278,5.0913557397047065,1.0266436713919151,1.1599040928784756,1.0170529592394733,0.8167921591721701,0.20453455600891768
75.0,Nouvelle-Aquitaine,4329942,846148,19.541786010066648,3483794,80.45821398993334,63983,1.4776872299906096,1.8365896491009515,30437,0.702942441261338,0.8736739313518538,3389374,78.2775843186814,97.2897364195472,640148,851304,703439,602830,155581,240157,91904,49646,26664,21439,6262,14.784216509135689,19.660863817575386,16.245922000802782,13.92235738954471,3.593142818079318,5.546425333179982,2.1225226573473734,1.1465742497243612,0.6158050154020539,0.4951336530604798,0.14462087482927025,18.886909500102377,25.116850486254982,20.754245474238015,17.785880224489834,4.590257670000419,7.08558571582835,2.7115331621709498,1.4647542584559863,0.7866939440734484,0.6325356835805078,0.18475388080512803
84.0,Auvergne et Rhône-Alpes,5416712,1119551,20.668460867035204,4297161,79.33153913296479,78647,1.451932463826764,1.8302083631495305,30798,0.5685737030139317,0.7167057506106939,4187716,77.31103296612409,97.45308588623978,867591,1025872,805588,845905,215883,256532,53247,43509,41336,24656,7597,16.016930565996493,18.939016879612577,14.872269376699371,15.616576993571007,3.985498952131847,4.735935748476197,0.9830133113962861,0.8032363544526643,0.7631197671207183,0.455183882768735,0.14025113389820246,20.717522391680813,24.497172205565036,19.236930107008213,20.199674476492675,5.1551490120151415,6.125821330768371,1.271504562391528,1.0389673034179012,0.9870774426919113,0.588769630032218,0.18141153793619244
27.0,Bourgogne-Franche-Comté,2001656,412997,20.632766069694295,1588659,79.3672339303057,31180,1.5577102159412006,1.9626615906874918,12573,0.6281299084358152,0.7914221994776727,1544906,77.18139380592869,97.24591620983483,387662,338191,276958,304391,87267,87386,15847,18533,14332,11496,2843,19.367064070949255,16.895560475925933,13.83644342484423,15.206958638247531,4.359740135168081,4.365685212643931,0.7916944769730663,0.9258833685708234,0.7160071460830433,0.5743244593476601,0.142032397175139,25.092918274639363,21.890716975660656,17.927174857240505,19.702881599268824,5.648693189100178,5.656395923117652,1.025758201469863,1.1996199121499949,0.9276939826759687,0.7441229434023817,0.18402414127461478
53.0,Bretagne,2453683,405071,16.508693258257075,2048612,83.49130674174292,34417,1.4026669296726595,1.6800155422305445,13865,0.5650689188456699,0.6767997063377545,2000330,81.5235708932246,97.6431847514317,306644,581076,385736,380815,87928,180827,19097,27092,13419,14296,3400,12.497294882835314,23.68178774519773,15.720694156498618,15.520138501998831,3.583510991436139,7.369615390415143,0.7782993972734049,1.1041361088616581,0.5468921617014096,0.5826343500770067,0.13856720692933847,15.329670604350282,29.049006913859216,19.283618202996504,19.0376087945489,4.3956747136722445,9.039858423360146,0.9546924757415026,1.354376527872901,0.6708393115136002,0.7146820774572196,0.16997195462748646
24.0,Centre-Val de Loire,1827657,360765,19.739207083167138,1466892,80.26079291683287,27910,1.5270917901991456,1.9026622273487073,11368,0.6219985478675704,0.7749718452346867,1427614,78.11170257876616,97.32236592741661,329470,323725,252308,300325,82060,83552,13570,16282,12075,11365,2882,18.02690548609504,17.71256860559722,13.804997327179006,16.432240841689662,4.489901551549334,4.571536125213867,0.7424806733429741,0.890867378288158,0.6606819550933244,0.621834403282454,0.15768823143511063,23.078367121644927,22.675947419960856,17.673404715840558,21.036848896130188,5.748052344681406,5.852562387311976,0.9505370499308637,1.1405043660261107,0.8458168664639041,0.7960835351852812,0.20187529682393138
11.0,Île-de-France,7199231,1447722,20.109397795403424,5751509,79.89060220459658,87595,1.216727175444155,1.5229916183735435,32458,0.45085370923644486,0.564338854377173,5631456,78.22302131991597,97.91266952724928,708026,1612516,1224978,1249586,226203,430324,36350,45705,64391,23582,9795,9.834744849831878,22.39844783422007,17.015400672655176,17.357214958097607,3.142043921079904,5.977360637545871,0.504915038842343,0.6348594731853999,0.8944149729325257,0.32756276330069145,0.1360561982245048,12.572698783405215,28.63408681520374,21.752420688361944,22.18939471426217,4.016776478409846,7.641434115795276,0.6454813817243711,0.8116018308586624,1.143416551598734,0.41875493655637197,0.1739337038236648
76.0,Occitanie,4194294,794467,18.941614488636226,3399827,81.05838551136377,56860,1.3556512728959869,1.6724380387590312,27267,0.6500974895894279,0.8020113964622319,3315700,79.05263674887836,97.52555056477874,762087,740031,734193,566036,135403,216349,75482,35216,28603,16776,5524,18.169613288911076,17.643756017103236,17.504566918771072,13.495382059531355,3.2282667833966814,5.158174415050542,1.799635409439586,0.8396168699666738,0.6819502877003853,0.3999719619082497,0.13170273709949756,22.98419639895045,22.31899749675785,22.142926078957686,17.071387640618873,4.083692734565854,6.524987182193804,2.2765026992791872,1.0620985010706638,0.8626534366800375,0.5059565099375697,0.16660132098802666
32.0,Hauts-de-France,4241887,925193,21.81088275100209,3316694,78.1891172489979,58622,1.381979293649265,1.7674829212462773,25548,0.6022791271903283,0.7702851092081452,3232524,76.20485882815832,97.46223196954557,1003216,630285,633313,521373,160721,166630,22410,33652,26043,29193,5688,23.650229249388303,14.858599486502117,14.929982811894801,12.29106291610314,3.7889033819146998,3.928204593851746,0.5283026162648841,0.7933261777128905,0.6139484620877455,0.6882078659803997,0.13409126645759303,31.035067334380194,19.498231103620576,19.591904035360606,16.128975376516927,4.971997114329236,5.154795447767751,0.6932663144960408,1.0410440881490748,0.8056552712369652,0.9031023435556859,0.17596157058694692
28.0,Normandie,2398182,458364,19.11297808089628,1939818,80.88702191910372,35209,1.468153793164989,1.8150671867154546,13181,0.5496246740239065,0.6794967362917552,1891428,78.86924345191483,97.5054360769928,452586,422960,362426,370105,98907,113705,13896,23804,14301,15194,3544,18.8720455745227,17.63669312837808,15.112531075623117,15.432731961127221,4.124249118707421,4.74129986798333,0.5794389249856767,0.9925852166349343,0.5963267174884975,0.6335632575008903,0.1477786089629561,23.928270068963766,22.361940290616403,19.161501257251135,19.56749080588846,5.229223634206536,6.011595471781109,0.734683001414804,1.2585200176797637,0.7560953945907537,0.8033083997910574,0.18737165781621082
